,VAL_CUSTO_CONTABIL
2017-07-24,403632.94
2017-07-25,466382.7
2017-07-26,209917.95999999996
2017-07-27,743949.99
2017-07-28,224272.24999999997
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,2049981.7099999997
2017-08-01,69378.25
2017-08-02,249279.71000000002
2017-08-03,174382.34999999998
2017-08-04,472989.05
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,67000.0
2017-08-08,486728.49999999994
2017-08-09,825484.4199999999
2017-08-10,149780.05
2017-08-11,247936.90999999997
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,443994.20999999996
2017-08-15,349050.01999999996
2017-08-16,246812.0
2017-08-17,296589.22
2017-08-18,768810.3700000002
2017-08-19,23500.0
2017-08-20,0.0
2017-08-21,822783.12
2017-08-22,698722.36
2017-08-23,507286.38999999996
2017-08-24,423703.9000000001
2017-08-25,822107.19
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,487480.5
2017-08-29,489023.64
2017-08-30,409138.67
2017-08-31,1076209.38
2017-09-01,161775.50999999998
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,393252.62
2017-09-05,150342.43
2017-09-06,172730.13
2017-09-07,0.0
2017-09-08,247506.36
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,156321.81999999998
2017-09-12,131373.9
2017-09-13,409011.80999999994
2017-09-14,411722.09
2017-09-15,417857.70999999996
2017-09-16,45126.73
2017-09-17,0.0
2017-09-18,731394.6900000001
2017-09-19,472852.92000000004
2017-09-20,382573.38
2017-09-21,306085.51
2017-09-22,776122.3300000002
2017-09-23,168683.93
2017-09-24,0.0
2017-09-25,739893.7899999999
2017-09-26,857069.55
2017-09-27,1059311.1400000001
2017-09-28,521883.13
2017-09-29,645019.39
2017-09-30,632518.2
2017-10-01,0.0
2017-10-02,87985.57
2017-10-03,249604.9
2017-10-04,149604.97999999998
2017-10-05,87811.55
2017-10-06,385722.0999999999
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,402480.66
2017-10-10,412464.31000000006
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,250424.19999999998
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,427469.65
2017-10-17,401662.75
2017-10-18,657051.19
2017-10-19,277553.38
2017-10-20,654900.2300000001
2017-10-21,91677.42
2017-10-22,0.0
2017-10-23,758714.4
2017-10-24,433242.91
2017-10-25,370312.45
2017-10-26,671954.2399999999
2017-10-27,806139.76
2017-10-28,97302.58
2017-10-29,0.0
2017-10-30,548281.12
2017-10-31,1309459.45
2017-11-01,200650.77
2017-11-02,0.0
2017-11-03,246073.21000000002
2017-11-04,45170.56
2017-11-05,0.0
2017-11-06,344132.06
2017-11-07,193716.98
2017-11-08,133993.33000000002
2017-11-09,248448.63
2017-11-10,129693.45999999999
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,366164.73
2017-11-14,140543.56
2017-11-15,0.0
2017-11-16,3241562.3500000047
2017-11-17,416471.26
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,614599.41
2017-11-21,526147.1599999999
2017-11-22,598565.42
2017-11-23,1715983.6300000004
2017-11-24,154577.03
2017-11-25,226958.44
2017-11-26,0.0
2017-11-27,429905.35
2017-11-28,319513.82999999996
2017-11-29,658921.0300000001
2017-11-30,1259542.1199999999
2017-12-01,110488.31
2017-12-02,91082.67
2017-12-03,0.0
2017-12-04,489149.19000000006
2017-12-05,0.0
2017-12-06,252419.21
2017-12-07,226377.12
2017-12-08,47500.0
2017-12-09,77058.17
2017-12-10,0.0
2017-12-11,351890.82999999996
2017-12-12,420460.36
2017-12-13,141698.4
2017-12-14,359160.63999999996
2017-12-15,398013.50999999995
2017-12-16,50385.4
2017-12-17,0.0
2017-12-18,424819.97
2017-12-19,1198710.5400000003
2017-12-20,809292.44
2017-12-21,394098.9
2017-12-22,187624.14
2017-12-23,20500.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,452354.44000000006
2017-12-27,361958.45
2017-12-28,402579.83
2017-12-29,372037.54
2017-12-30,71152.37
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,284376.27
2018-01-03,488512.52
2018-01-04,411559.46
2018-01-05,373057.91
2018-01-06,106200.0
2018-01-07,0.0
2018-01-08,1073434.66
2018-01-09,341675.99
2018-01-10,671874.8700000001
2018-01-11,584534.22
2018-01-12,498923.68
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,569665.5600000002
2018-01-16,536883.24
2018-01-17,384896.7
2018-01-18,552426.0499999999
2018-01-19,275017.44
2018-01-20,457741.80000000005
2018-01-21,0.0
2018-01-22,269483.02
2018-01-23,492905.1099999999
2018-01-24,500903.97
2018-01-25,373417.84
2018-01-26,448676.35
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,801929.1799999999
2018-01-30,504896.35
2018-01-31,1374362.91
2018-02-01,131228.85
2018-02-02,605650.32
2018-02-03,39000.0
2018-02-04,0.0
2018-02-05,1202716.85
2018-02-06,485828.16
2018-02-07,392050.81999999995
2018-02-08,878455.85
2018-02-09,339691.39
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,157382.00000000003
2018-02-15,823927.3500000001
2018-02-16,1307003.94
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,634585.36
2018-02-20,694790.43
2018-02-21,498333.8999999999
2018-02-22,1068816.9499999997
2018-02-23,412229.03
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,380844.24
2018-02-27,787376.6900000001
2018-02-28,682713.7200000001
2018-03-01,215118.12999999998
2018-03-02,328660.86
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,836374.1000000001
2018-03-06,352754.55000000005
2018-03-07,475813.83
2018-03-08,405866.72
2018-03-09,76429.95999999999
2018-03-10,20000.0
2018-03-11,0.0
2018-03-12,379923.42
2018-03-13,979485.0800000001
2018-03-14,691839.3600000001
